timestamp,user_id,lat,lon,country,device,login_status,attack_type,is_attack
2025-09-03 23:09:14.168344,user_0451,52.52,13.405,DE,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Impossible Travel,1
2025-09-03 23:09:14.168344,user_0057,40.7128,-74.006,US,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:10:14.168344,user_0190,-33.8688,151.2093,AU,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Impossible Travel,1
2025-09-03 23:12:14.168344,user_0390,35.6762,139.6503,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Impossible Travel,1
2025-09-03 23:12:14.168344,user_0239,52.52,13.405,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Impossible Travel,1
2025-09-03 23:14:14.168344,user_0492,51.5074,-0.1278,GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Impossible Travel,1
2025-09-03 23:18:14.168344,user_0377,37.7749,-122.4194,US,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Impossible Travel,1
2025-09-03 23:18:14.168344,user_0239,35.6762,139.6503,JP,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Impossible Travel,1
2025-09-03 23:19:14.168344,user_0162,52.52,13.405,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Impossible Travel,1
2025-09-03 23:20:14.168344,user_0425,12.9716,77.5946,IN,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:22:14.168344,user_0024,51.5074,-0.1278,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Impossible Travel,1
2025-09-03 23:22:14.168344,user_0299,35.6762,139.6503,JP,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:30:14.168344,user_0095,19.076,72.8777,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Impossible Travel,1
2025-09-03 23:30:14.168344,user_0471,40.7128,-74.006,US,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:30:14.168344,user_0112,35.6762,139.6503,JP,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Impossible Travel,1
2025-09-03 23:31:14.168344,user_0119,19.076,72.8777,IN,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:32:14.168344,user_0135,35.6762,139.6503,JP,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-03 23:42:14.168344,user_0492,52.52,13.405,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Impossible Travel,1
2025-09-03 23:53:14.168344,user_0471,35.6762,139.6503,JP,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Impossible Travel,1
2025-09-04 00:03:14.168344,user_0117,40.71984664832483,-74.00265486859165,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 01:03:14.168344,user_0157,19.076,72.8777,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Vacation,0
2025-09-04 01:03:14.168344,user_0121,12.980688825176738,77.60426000800977,IN,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Normal,0
2025-09-04 01:03:14.168344,user_0039,51.5051349375664,-0.12521234222579494,GB,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Normal,0
2025-09-04 01:03:14.168344,user_0053,-33.86104369308566,151.2078008193308,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 01:03:14.168344,user_0144,19.069287108394683,72.87279425705908,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Normal,0
2025-09-04 01:59:14.168344,user_0294,-33.8688,151.2093,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Failed,Brute Force,1
2025-09-04 02:00:14.168344,user_0294,-33.8688,151.2093,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Failed,Brute Force,1
2025-09-04 02:01:14.168344,user_0294,-33.8688,151.2093,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Failed,Brute Force,1
2025-09-04 02:02:14.168344,user_0294,-33.8688,151.2093,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Failed,Brute Force,1
2025-09-04 02:03:14.168344,user_0483,-33.87547288899804,151.21515490448354,AU,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Normal,0
2025-09-04 02:03:14.168344,user_0001,52.51231315212638,13.411240554043852,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 02:03:14.168344,user_0294,-33.8688,151.2093,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Brute Force Success,1
2025-09-04 02:03:14.168344,user_0298,51.51240246991918,-0.12376068236136215,GB,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Normal,0
2025-09-04 02:03:14.168344,user_0174,51.51688197527817,-0.1334362333923515,GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 02:03:14.168344,user_0029,-33.87243612718209,151.20234703731492,AU,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Normal,0
2025-09-04 02:03:14.168344,user_0051,19.07348018640074,72.87245005485663,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 03:03:14.168344,user_0364,12.978145772284593,77.60074711833636,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 03:03:14.168344,user_0264,51.507795573836475,-0.12992521560014877,GB,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Normal,0
2025-09-04 03:03:14.168344,user_0344,-33.86210436548329,151.2054561281502,AU,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Normal,0
2025-09-04 03:03:14.168344,user_0312,-33.866961555075335,151.20481760154638,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 04:03:14.168344,user_0484,37.76685232772367,-122.41748044350189,US,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Normal,0
2025-09-04 04:03:14.168344,user_0197,37.77290769008364,-122.41008755593302,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 05:03:14.168344,user_0177,12.976943733603578,77.59314917918358,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 05:03:14.168344,user_0397,-33.87314851090864,151.21238663157598,AU,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Normal,0
2025-09-04 05:03:14.168344,user_0490,37.777276801288835,-122.4150199568596,US,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Success,Normal,0
2025-09-04 05:03:14.168344,user_0141,52.52,13.405,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Success,Vacation,0
2025-09-04 05:03:14.168344,user_0125,-33.862268658516115,151.20157185216854,AU,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Normal,0
2025-09-04 05:03:14.168344,user_0132,51.507361086409794,-0.134568246028696,GB,Mozilla/5.0 (Linux; Android 10; SM-G960U),Success,Normal,0
2025-09-04 05:03:14.168344,user_0127,37.77893888605262,-122.42085367650543,US,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),Success,Normal,0
